ID_no,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,ranking
160,42.1,9.5,30,212,B
161,30.7,29.7,48,186,A
162,34.2,8.5,36,219,D
163,24.7,16.7,43,174,B
164,25.4,18,26,171,B
165,47.1,12.3,52,195,A
166,42.7,25,29,211,B
167,20.8,18.7,36,161,B
168,34.9,22.6,37,148,A
169,20.5,13.5,16,110,C
170,39.2,7,31,195,C
171,27.5,21.1,27,140,A
172,47.3,16,41,206,A
173,45,11.6,41,223,C
174,26.9,26.3,36,174,A
175,47.3,15.4,39,215,B
176,40.6,15.8,29,188,B
177,23.9,15.7,23,130,C
178,24.5,13.7,59,157,C
179,46.2,21.5,65,248,A
180,32.9,28.8,43,164,A
181,34.9,7.6,33,166,B
182,50.8,16.8,49,257,B
183,25.5,18.8,11,117,C
184,38.8,19.9,67,240,A
185,25,21.7,31,170,C
186,23.5,18.5,20,152,B
187,37.7,25.5,35,237,D
188,50.1,22.1,45,206,A
189,22.7,10.7,0,134,D
190,48.3,28.7,52,203,A
191,47.8,14.1,49,244,B
192,47.8,24.2,47,201,A
193,35.6,9,22,135,D
194,50.6,16,51,231,A
195,47.4,16.6,60,205,B
196,27.9,23.3,39,168,A
197,50.9,11.6,42,156,D
198,40.8,15.4,55,213,B
199,27.9,23,35,145,A
200,58.9,19.9,56,278,B
201,39.7,13.2,47,224,C
202,59.2,15.1,47,196,A
203,40.9,22,52,209,B
204,23.6,19.4,41,155,B
205,28.9,20.2,4,125,D
206,33.6,10.9,28,190,B
207,27.4,22.6,38,178,A
208,40.6,22.4,34,188,B
209,40.7,13,41,203,C
210,34.1,12.7,40,217,C
211,30,27.1,54,202,A
212,28.5,23.1,43,198,A
213,25.2,21.5,47,178,A
214,16.6,16.1,37,113,D
215,26.4,23.6,37,179,B
216,16.2,23,35,167,A
217,28.5,6.4,44,210,C
218,39.3,5.1,38,225,C
219,45,9.9,33,223,C
220,42,9.1,44,233,C
221,25.1,17.5,25,110,C
222,30.1,12.5,24,149,C
223,32,8.7,36,188,D
224,26.9,23.5,12,118,B
225,39.1,23.8,47,186,A
226,38.2,20.1,49,215,B
227,22.4,18.1,30,152,B
228,26.9,20.6,43,128,A
229,46,2.8,33,194,C
230,47.4,22.4,55,211,A
231,67.6,16.2,46,219,B
232,25.6,30.1,32,157,B
233,25,28,41,186,A
234,38.9,18.2,56,217,B
235,29.9,22.3,39,174,B
236,24.2,14.3,16,132,C
237,48.8,16.3,59,228,B
238,28.2,24.5,36,183,A
239,23.4,24.3,11,145,D
240,26.9,14.2,28,160,B
241,50.9,26.3,68,248,A
242,44.5,11.4,66,247,B
243,57.9,19.8,40,220,B
244,21.8,20.8,37,172,B
245,12.1,1.2,20,118,D
246,44,16.3,61,234,A
247,35,3.3,40,213,D
248,35.1,-2.4,12,162,D
249,19.5,20.5,24,134,C
250,34.3,20.2,35,186,C
251,45.9,7.8,46,204,C
252,45.3,18.3,44,241,C
253,24.8,20.1,12,122,C
254,21.6,10.9,26,131,C
255,43.3,17.3,47,246,B
256,38.1,14.3,37,216,C
257,43.5,14.5,42,230,B
258,29.1,14.8,43,170,C
259,37.7,6,50,193,D
260,38.1,16.2,40,151,D
261,44.7,7.7,45,221,C
262,42.8,7.4,29,181,D
263,25,21.4,41,163,A
264,22.9,17.9,27,126,B
265,28.9,-4.4,22,143,D
266,41.2,16.6,40,205,A
267,49.7,1.5,50,216,D
268,47.4,6.2,47,230,C
269,64.3,19,57,235,A
270,48.9,23,48,199,C
271,43.1,15.8,38,173,A
272,49.6,21.5,54,223,A
273,25.1,28.6,42,148,A
274,27.4,18.9,40,186,A
275,31,20.5,50,174,B
276,46.1,4.5,42,185,D
277,15.2,24.2,28,174,D
278,56.8,12.7,54,232,C
279,45.4,12.5,40,216,B
280,45.7,20.2,55,239,A
281,23,27.2,33,189,B
282,43.9,14.5,46,237,A
283,35.6,9.3,38,200,D
284,24.4,23.6,27,149,A
285,47.8,23,41,217,D
286,22.5,-5,13,150,D
287,55.4,16.7,50,215,A
288,18.6,19.4,22,160,D
289,24.7,16.5,11,125,C
290,26.8,19.9,51,183,A
291,54.3,20,61,241,B
292,44.6,23.3,60,212,B
293,25.8,16.8,32,162,B
294,26.6,28,43,204,C
295,23.8,10.1,42,172,C
296,37.1,14.3,31,174,A
297,52.6,11.2,45,225,C
298,30.1,16.5,25,185,D
299,30.2,18.7,36,158,C
300,46.4,9.3,45,225,C
301,35.6,20.4,49,221,C
302,42.8,27.8,65,240,A
303,54,27.7,52,231,D
304,27.7,21.1,47,158,B
305,35.5,18.8,26,182,B
306,33.5,27.8,38,181,A
307,17,12.8,20,100,D
308,35.2,15.4,51,225,B
309,25.2,19.6,32,167,A
310,39,13.3,38,205,B
311,25,21.7,35,137,A
312,20.8,19.5,16,130,D
313,51.5,21.8,58,230,A
314,44.6,11.5,55,221,B
315,49,12.1,51,197,B
316,40.4,17.3,28,168,B
317,46.9,14.6,53,228,A
318,23.9,20.3,30,121,B
319,22.1,19.6,21,135,C
320,21.7,23.8,38,137,C
321,39.4,24.9,60,163,C
322,45.2,9.2,44,174,D
323,28.1,21.5,46,167,C
324,32.9,17.4,38,182,C
325,52.8,21.3,44,222,B
326,42.6,23.5,51,241,C
327,35.7,-12,1,200,D
328,35.2,-6.6,49,202,D
329,42.4,8,52,213,D
330,35.7,26.8,39,168,C
331,43.3,7.4,52,215,C
332,23.1,18.5,27,115,B
333,36.3,7.1,1,182,D
334,25.4,23.9,30,152,B
335,52.2,19.7,57,254,A
336,46.4,16.7,47,216,B
337,46.3,7.8,39,213,C
338,29,10.3,44,126,C
339,50.5,7.2,43,232,C
340,24.4,15,16,119,C
341,40.2,24.4,36,167,D
342,34.2,-1.4,16,144,D
343,43.7,14.3,42,199,B
344,27.1,21,59,178,B
345,29.7,9.8,39,166,D
346,48.7,5.2,28,214,D
347,21.6,20.5,33,164,A
348,44,1.5,53,249,D
349,33.7,14.2,32,185,C
350,51,17.2,55,231,B
351,40.4,12.2,44,204,D
352,49.1,20.9,58,270,A
353,28.7,25.7,32,162,A
354,23.9,14.1,29,154,C
355,27.9,27.6,32,185,A
356,31.3,12.3,49,159,C
357,37.9,-13.1,37,217,D
358,35.9,12.3,52,228,C
359,32.7,-1.3,22,173,D
360,40.2,10.5,44,182,B
361,29,19.5,39,175,C
362,45.9,23.8,58,230,B
363,39.6,6,38,185,C
364,46.7,3.3,42,207,D
365,48.5,16.6,43,243,C
366,29.1,21.4,41,149,D
367,24.6,18.7,41,168,B
368,35.6,-7.7,40,193,D
369,51.1,8.1,51,243,C
370,31,11.5,40,220,B
371,21.3,7.9,24,154,D
372,46.7,16.8,52,231,C
373,50.4,2.9,44,192,D
374,30.3,26,40,173,A
375,42.2,17.1,54,229,A
376,19.9,11,37,157,C
377,34.5,9,23,138,D
378,41,11.2,44,236,D
379,51,11.6,57,158,B
380,35.9,15.8,40,165,B
381,33.4,20.4,35,190,A
382,27.6,30.4,42,175,A
383,49.7,7,39,225,C
384,34.2,2.9,52,240,D
385,31.6,0.2,39,206,D
386,42.5,21.3,54,216,A
387,41,13,26,205,B
388,46.6,10.6,58,253,B
389,50.3,26.8,60,276,A
390,53.9,10.3,46,209,B
391,36.5,7,57,217,C
392,22,18.5,19,138,B
393,45.3,15.4,45,209,B
394,37.9,14.9,35,204,D
395,45.7,11.9,48,218,B
396,49.7,16.7,51,248,B
397,46.2,7.8,46,211,C
398,39.3,27.5,60,204,D
399,33,13.5,41,186,A
400,24.6,20.1,13,135,D
401,42.8,14.1,35,233,C
402,23.3,26,21,115,B
403,20,20.2,23,87,C
404,18.1,34.8,33,108,C
405,30.2,20.6,0,133,D
406,47.8,17.8,50,240,A
407,46.3,7.1,57,212,C
408,40,11.9,43,189,B
409,24.2,22,52,160,A
410,56.9,21.3,51,230,A
411,45.9,20.5,57,233,B
412,45.4,-11,39,234,D
413,42.8,15.6,44,195,C
414,49.8,21.2,58,226,B
415,54.7,28.5,38,217,C
416,45.5,6.7,45,194,C
417,28,16.6,19,143,B
418,27.9,20.2,23,158,B
419,28.8,-14.3,20,119,D
420,22.7,20.9,29,126,A
421,53.4,9.4,53,209,C
422,35.9,23.8,43,174,B
423,44.7,21,52,238,C
424,35.3,6,39,197,D
425,46.3,22.9,59,243,A
426,30.5,27.3,30,169,C
427,26.2,24.7,42,153,B
428,29.4,12.5,18,140,C
429,23.6,22.5,20,188,C
430,23,28.3,11,150,C
431,30.6,10.1,48,167,C
432,22.4,21.2,7,121,D
433,49.6,5.9,61,168,D
434,56.4,13.9,49,212,C
435,21.8,23.3,45,163,C
436,31.7,13.4,50,198,C
437,42.1,7.5,31,234,D
438,28.3,24.5,30,166,C
439,40.7,-7,36,200,D
440,22.1,24.7,21,148,B
441,45.5,16.5,38,215,A
442,44.9,16.1,49,232,D
443,48.1,16.3,42,238,A
444,23,10.2,24,120,C
445,45.9,12.5,58,199,C
446,26.5,17,47,193,B
447,26.9,19.8,30,174,B
448,27.2,19.3,64,200,C
449,33.7,12.8,27,224,C
450,42.2,14.6,42,182,C
451,33.3,-3,33,203,D
452,28.4,15.6,15,149,D
453,21.3,25,19,121,B
454,33.3,6.7,30,173,C
455,32.4,21.8,37,170,A
456,22.7,26.6,28,151,B
457,39.3,19.5,51,203,A
458,55.5,9.5,35,185,C
459,27.2,17.4,27,126,B
460,52.4,23.9,60,280,A
461,35.8,19.5,53,195,D
462,42.3,18.4,55,214,C
463,41.2,19,45,232,B
464,36.3,4.8,37,191,C
465,29,24.5,64,173,A
466,33,10.4,30,181,C
467,40.7,18.1,56,277,B
468,53.6,16.2,40,220,C
469,21.2,21.8,30,156,C
470,44.9,18.7,36,180,A
471,31.3,22,40,165,B
472,45.5,7.6,43,229,C
473,38.5,3.2,40,207,D
474,52.3,9.1,38,218,B
475,45.4,11.6,53,232,C
476,30.7,-8.7,26,185,D
477,40.9,11.4,39,235,C
478,38.9,15.6,45,183,D
479,40.4,14.5,44,228,B
480,62.3,25.3,57,224,B
481,25.2,20.8,47,210,A
482,45.5,16.1,66,228,A
483,43.9,13.9,50,193,A
484,28.5,11.2,38,0,C
485,43.3,8.4,31,200,C
486,23.7,0,27,136,D
487,30.9,23.6,37,168,A
488,27.5,20.8,32,159,A
489,39.5,14.4,18,193,D
490,56,14.3,38,242,C
491,49.5,-5.3,26,201,D
492,21.7,20.7,19,124,D
493,28.1,18.1,31,117,C
494,29.6,22.1,54,187,A
495,47.1,23.2,48,238,B
496,25,16,3,122,D
497,21.5,24,30,116,B
498,48.9,3.3,35,182,D
499,23.5,15.2,0,51,D
500,40.9,15.9,33,182,A
501,24.9,22.4,46,182,A
502,38.8,13.4,54,208,B
503,52,22.3,58,252,A
504,35.9,18.6,41,166,A
505,52,6.3,53,182,C
506,23.6,24,43,173,A
507,26.4,19,52,157,A
508,29,20.5,41,170,A
509,21.3,21.1,54,171,B
510,25.6,6,4,60,D
511,21.4,22.4,44,190,B
512,41,18.5,63,262,A
513,39.3,17.5,44,216,B
514,50.1,7.8,59,218,C
515,64.9,19.3,49,213,D
516,50.5,25.4,65,268,A
517,24.1,27.5,39,159,B
518,28.9,14.4,45,179,C
519,22.5,18.3,28,136,D
520,31.9,7.4,27,146,B
521,44.1,17.4,49,223,B
522,40.5,-1.6,52,222,D
523,53.6,21.2,58,218,B
524,24.7,25.7,25,139,A
525,34.7,8.1,23,181,C
526,40.9,3.7,42,217,D
527,30.5,21.5,31,187,B
528,46.9,13.1,39,215,B
529,40.5,26.2,29,164,C
530,53.1,21.2,47,192,C
531,20.3,14,9,94,D
532,27.5,29.1,40,185,A
533,27.2,9.8,21,170,D
534,28.3,24.6,47,168,A
535,41.5,-0.4,34,159,D
536,25.1,16.3,13,110,C
537,17.2,-4,0,110,D
538,27,30.6,30,212,B
539,33,24.2,37,147,B
540,34.6,10,35,183,D
541,37.3,9.1,28,196,D
542,42.7,4,37,173,D
543,47.2,2.2,35,211,D
544,23,19.7,33,104,A
545,39.9,15.1,45,211,B
546,41.1,22.2,51,222,B
547,43,12.7,31,170,B
548,43.1,11.7,50,237,B
549,26.5,19.9,47,175,A
550,40.1,15.9,27,191,C
551,26.5,8.4,13,131,D
552,37.8,20.2,54,211,A
553,56.2,18.2,56,245,A
554,58,9.2,52,228,D
555,33,12,49,200,B
556,27,26.1,43,142,B
557,41.2,11.1,35,165,B
558,56.8,18.2,67,275,A
559,20.9,18.8,39,172,C
560,46.1,6.8,39,228,C
561,21.9,24.5,34,149,A
562,33.3,25,37,161,A
563,23.1,15.3,7,119,D
564,44.5,18.6,53,239,B
565,61.4,18,56,205,A
566,39,20.9,57,225,B
567,44.3,5.3,43,221,D
568,37.8,11.7,19,184,C
569,52.2,22.4,60,230,A
570,46.8,5.8,35,197,C
571,56.9,26.4,57,226,A
572,36.4,27.3,46,198,B
573,36.4,19.1,36,273,D
574,20,18.3,29,158,B
575,42,15.8,39,194,B
576,36.3,3.7,26,214,D
577,41,14.5,48,216,A
578,27.6,16.4,25,126,B
579,24.3,19.6,27,169,B
580,47,19.1,28,209,D
581,24.9,12.8,27,161,C
582,22.1,5.1,12,95,D
583,43.6,16.6,53,260,A
584,42.5,7.7,57,234,D
585,43.6,9.7,34,180,B
586,23.9,-2.7,23,133,D
587,37.2,3,42,185,C
588,29.7,28.6,38,168,A
589,27.4,25.4,57,211,A
590,35.7,16.3,44,193,A
591,39.7,15,44,200,C
592,45.2,18.1,47,224,A
593,49.3,17.5,55,212,B
594,27.1,19.1,43,185,A
595,32.5,21.9,42,177,A
596,50.1,27.3,37,194,D
597,38.3,12.3,38,205,C
598,44.8,17.9,48,240,A
599,46.5,8.6,42,201,C
600,28.7,19.2,45,167,B
601,32.9,16,28,191,B
602,34.6,14.5,58,226,C
603,47,24.9,71,255,C
604,19,-14.3,12,150,D
605,50.4,23.6,54,223,A
606,44.2,17.5,51,227,A
607,43.8,11.9,30,190,D
608,17.1,17.1,20,136,C
609,30,18.9,32,159,C
610,31.1,4.6,41,216,D
611,38.2,2.1,53,228,D
612,34.4,17.5,48,176,C
613,50.1,17.1,58,234,C
614,34.2,16.8,31,194,D
615,36.1,2.3,32,145,C
616,29.2,19.4,44,197,A
617,24.2,22.5,34,135,A
618,43,15.4,54,260,B
619,49.7,22.5,57,260,A
620,48.7,20.2,61,245,A
621,45.1,17.3,53,202,A
622,21.9,6.1,19,141,D
623,27,21,38,165,B
624,40.8,19.7,55,239,A
625,26.6,19.3,35,156,A
626,51.6,14.2,41,225,B
627,40,18.5,47,204,D
628,41.3,6.5,27,180,D
629,31.1,15.9,32,156,B
630,38.5,26.2,50,184,A
631,21,17.6,36,174,B
632,43.2,16.9,50,220,B
633,34.7,3.4,33,161,C
634,37.1,17.8,61,226,A
635,34.8,15.7,46,196,D
636,23.2,22,20,156,B
637,48.5,20.2,56,245,A
638,45,-6.2,59,232,D
639,29.3,21,41,182,A
640,22.5,16,38,137,C
641,29.2,1.8,45,213,D
642,27.9,18.6,19,146,C
643,40,13.5,36,189,B
644,35.2,-6.9,28,195,D
645,41.6,13.2,47,218,B
646,40.7,12.7,63,236,C
647,39.3,2.8,17,185,D
648,44.3,14.5,51,230,C
649,42.7,5.3,45,222,C
650,39,24.8,57,192,C
651,30,12.9,30,138,C
652,47.7,5.8,49,193,C
653,20.2,15.2,21,113,C
654,51.8,9,58,220,C
655,49.8,13.7,46,223,D
656,42.5,21.9,51,217,D
657,54.7,20,50,210,A
658,44,16.4,41,195,B
659,24,20.3,27,146,C
660,54.1,24.5,68,220,A
661,50.6,14.4,48,212,A
662,34,21.5,45,156,A
663,55.9,13,61,222,B
664,18.2,15.5,20,114,D
665,27.9,25.5,40,184,A
666,31.3,24.4,40,179,C
667,24.2,16.4,24,132,C
668,36.6,3.9,24,160,D
669,38.8,16.5,64,263,C
670,42.1,14.9,42,206,B
671,21.8,1.2,18,140,D
672,43.4,23.4,34,239,D
673,24.5,23,32,160,B
674,38.9,7.2,41,199,C
675,54.7,21.7,54,234,B
676,28.3,31.5,43,186,A
677,22.5,16.2,11,120,C
678,26.1,25.4,41,175,A
679,39.1,5.2,45,191,D
680,17.6,7.9,0,113,D
681,39.1,0.1,22,187,D
682,19.6,11.1,14,160,D
683,27.9,6,24,180,D
684,26.3,6.7,22,144,D
685,40.1,6.6,28,199,D
686,44.4,11,44,196,C
687,15.8,16.8,10,118,C
688,41.7,14.8,58,212,A
689,19.2,19.1,21,172,C
690,56.7,29.3,62,259,A
691,26.5,22.3,28,165,B
692,41.8,18.7,53,241,A
693,31.9,3.6,28,151,C
694,31.2,22.4,31,168,B
695,19.6,24.8,33,135,C
696,30,20.5,43,146,B
697,45.8,17.2,52,223,C
698,52.3,-7.5,28,203,D
699,38.5,16.8,36,182,A
700,54.5,17,59,234,A
701,47.2,21.7,57,247,A
702,26.8,6.3,19,129,D
703,28.1,21.3,29,118,A
704,42.4,8,32,183,C
705,25.7,18.7,37,165,A
706,30.8,23.6,42,168,A
707,54.6,17.5,52,259,B
708,27.4,19.9,35,177,C
709,27.4,19.8,19,148,B
710,32.5,23.6,36,214,D
711,25.1,12.8,23,133,C
712,34.5,2,0,0,D
713,27.6,27.1,34,170,C
714,39,18.7,52,232,A
715,54.1,11.3,27,205,D
716,22.5,17.4,20,119,B
717,51.9,16,58,237,A
718,19.9,13.2,10,50,D
719,28,26.5,19,160,D
720,30.1,24.2,39,216,A
721,40.1,11,29,184,B
722,51.8,18,46,242,C
723,48.6,25.3,55,231,A
724,31.9,22.8,30,164,A
725,43.8,16.3,46,205,B
726,27.2,14.1,27,165,B
727,24,21.8,29,147,B
728,19.6,18.7,48,155,D
729,42.4,18,51,221,A
730,26.1,-2.8,13,142,D
731,43,12.6,28,197,B
732,52.9,11.6,47,214,B
733,24.3,16.2,48,153,C
734,19.8,18.8,19,123,B
735,44.9,26.1,59,235,A
736,42.5,10.4,27,183,D
737,39.1,-25,22,197,D
738,42.2,16.4,56,195,A
739,25,17,23,165,C
740,51.9,3.5,47,140,C
741,37.3,16.2,37,222,D
742,36.6,20.5,38,205,B
743,49.7,8.9,36,201,C
744,28,4.8,26,169,D
745,34,26,50,173,A
746,41,14.2,15,202,D
747,24.7,19.8,36,167,A
748,29.8,20.7,44,186,A
749,32.6,28.8,59,212,A
750,60.2,17.2,66,241,B
751,28.5,8.1,25,121,D
752,42.4,17.9,57,234,B
753,45.1,0.8,45,217,D
754,31.7,14.9,51,206,C
755,47.3,26.7,65,214,A
756,35.6,2.7,47,229,D
757,51.7,17,64,259,D
758,35.1,9.5,38,195,C
759,32.1,8.3,44,194,C
760,35.1,15.5,27,175,B
761,46.5,9.3,47,240,C
762,28.1,20.4,3,118,D
763,44.1,11.3,36,182,B
764,43.5,13.5,43,195,B
765,43.3,5.3,24,200,D
766,20.5,17.9,36,194,A
767,49.1,13.4,42,225,B
768,42.1,16.4,55,221,D
769,40.1,19.4,47,213,B
770,60.2,18,61,260,C
771,22,20,26,120,B
772,42,17,31,215,D
773,24.9,19.5,15,148,B
774,41.1,-2.5,35,198,D
775,44.9,9.6,41,193,B
776,36.3,24.4,59,242,B
777,37.8,14.9,44,175,C
778,39.7,3.5,24,197,C
779,21.3,4.1,17,130,D
780,29.1,20.1,41,201,A
781,22.6,19.5,26,138,B
782,27.4,24.4,31,164,A
783,44.8,16.5,42,206,D
784,50,21,51,245,A
785,17.5,1.3,9,139,D
786,47,8.6,56,242,D
787,24.6,21.1,56,166,A
788,43.9,27.5,53,250,A
789,55.7,6.6,53,210,C
790,33.4,24,34,162,C
791,23.9,19.2,32,162,B
792,43,11.3,54,216,C
793,27.5,22.7,37,166,A
794,31.5,2.6,36,181,C
795,52.6,10.5,46,192,B
796,37,-2.4,24,171,D
797,25.4,21.1,19,173,D
798,51.5,25.9,47,217,B
799,26.3,24.6,28,156,B
800,20.5,6.7,22,138,D
801,49.9,17.8,42,229,C
802,44.1,25.1,39,222,B
803,37,-0.2,17,169,D
804,26.1,23,44,165,B
805,22.2,14.5,12,103,D
806,30,20.9,36,185,A
807,40.3,18.7,54,222,B
808,28.4,17.6,33,165,B
809,47.8,16,54,255,A
810,50.9,5.3,45,176,D
811,43,18.5,56,237,A
812,48,0.9,53,227,D
813,38.3,19.8,51,227,A
814,58.7,16.7,50,224,D
815,50,15.5,52,242,A
816,52,19,54,233,A
817,22.4,12,18,117,C
818,43.6,14.3,50,218,B
819,26.9,13.3,37,155,D
820,34.8,8.3,29,160,D
821,40.1,17.6,40,195,D
822,52.3,13.7,54,207,B
823,46.9,8.6,42,180,D
824,51.4,19,57,226,A
825,30.4,20.1,32,146,B
826,21.9,24,42,178,D
827,28.8,14,30,128,C
828,43.9,8.9,39,268,C
829,51.2,13.6,62,232,B
830,25.2,28.5,57,173,A
831,39.6,23,39,185,A
832,49,2.2,57,241,D
833,65.3,20.5,51,219,B
834,46.4,22.7,31,248,D
835,20.7,32,24,135,B
836,17.2,20.4,23,137,D
837,43.1,21,41,209,B
838,29.6,24.7,46,164,A
839,55.5,15.8,58,220,A
840,53.7,13.9,64,218,B
841,35.5,14.1,35,213,D
842,48.6,11.1,26,164,C
843,52.2,24.5,59,245,A
844,30.1,29.6,28,152,A
845,39.1,8.5,40,220,D
846,41.4,3.6,57,211,D
847,27.8,22.1,37,159,A
848,41.8,24.3,60,248,A
849,29.9,12,17,105,D
850,29.8,11.6,22,159,C
851,53.8,21.3,55,259,B
852,47.5,9.4,48,201,B
853,34.9,8.2,29,161,B
854,37.1,25.5,45,222,C
855,43.7,20.4,45,224,C
856,46.6,19.6,56,207,C
857,52.1,17.8,62,257,A
858,49,26.4,55,258,A
859,23,21,48,127,A
860,21.6,20.3,43,166,D
861,52.6,19.5,25,214,D
862,25.7,12.1,37,181,C
863,39.9,10.7,42,246,C
864,33.1,7.3,22,122,D
865,55.2,18.4,58,247,C
866,40,15.3,32,212,D
867,52.9,5.3,56,234,C
868,46.2,5.6,62,206,D
869,23.5,21.9,20,132,C
870,41.5,16.3,59,227,B
871,28.2,15.5,35,160,C
872,29.6,4.9,41,175,C
873,26.8,20.9,52,180,A
874,43.9,11,37,208,D
875,43.1,0.1,37,171,D
876,31.9,6.5,21,202,D
877,35.4,4.2,54,205,D
878,42.1,-5.3,60,233,D
879,53.3,24.6,31,189,A
880,53.9,17.2,58,220,A
881,47.9,16.7,51,247,A
882,21.1,16.8,22,120,D
883,44.2,9.7,39,217,B
884,47.3,14,32,206,D
885,39.8,23.3,48,247,B
886,44.7,13.8,55,247,B
887,22.6,31,50,198,A
888,21.6,13.9,38,191,B
889,53.9,17.5,50,219,C
890,58.7,15.5,35,235,D
891,27.6,21.8,35,140,A
892,35.1,-13.2,49,189,D
893,46.1,10.2,46,198,C
894,32.6,20.9,44,186,A
