ID_no,gripForce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,ranking
297,52.6,11.2,45.0,225.0,C
298,30.1,16.5,25.0,185.0,D
299,30.2,18.7,36.0,158.0,C
300,46.4,9.3,45.0,225.0,C
301,35.6,20.4,49.0,221.0,C
302,42.8,27.8,65.0,240.0,A
303,54.0,27.7,52.0,231.0,D
304,27.7,21.1,47.0,158.0,B
305,35.5,18.8,26.0,182.0,B
306,33.5,27.8,38.0,181.0,A
307,17.0,12.8,20.0,100.0,D
308,35.2,15.4,51.0,225.0,B
309,25.2,19.6,32.0,167.0,A
310,39.0,13.3,38.0,205.0,B
311,25.0,21.7,35.0,137.0,A
312,20.8,19.5,16.0,130.0,D
313,51.5,21.8,58.0,230.0,A
314,44.6,11.5,55.0,221.0,B
315,49.0,12.1,51.0,197.0,B
316,40.4,17.3,28.0,168.0,B
317,46.9,14.6,53.0,228.0,A
318,23.9,20.3,30.0,121.0,B
319,22.1,19.6,21.0,135.0,C
320,21.7,23.8,38.0,137.0,C
321,39.4,24.9,60.0,163.0,C
322,45.2,9.2,44.0,174.0,D
323,28.1,21.5,46.0,167.0,C
324,32.9,17.4,38.0,182.0,C
325,52.8,21.3,44.0,222.0,B
326,42.6,23.5,51.0,241.0,C
327,35.7,-12.0,1.0,200.0,D
328,35.2,-6.6,49.0,202.0,D
329,42.4,8.0,52.0,213.0,D
330,35.7,26.8,39.0,168.0,C
331,43.3,7.4,52.0,215.0,C
332,23.1,18.5,27.0,115.0,B
333,36.3,7.1,1.0,182.0,D
334,25.4,23.9,30.0,152.0,B
335,52.2,19.7,57.0,254.0,A
336,46.4,16.7,47.0,216.0,B
337,46.3,7.8,39.0,213.0,C
338,29.0,10.3,44.0,126.0,C
339,50.5,7.2,43.0,232.0,C
340,24.4,15.0,16.0,119.0,C
341,40.2,24.4,36.0,167.0,D
342,34.2,-1.4,16.0,144.0,D
343,43.7,14.3,42.0,199.0,B
344,27.1,21.0,59.0,178.0,B
345,29.7,9.8,39.0,166.0,D
346,48.7,5.2,28.0,214.0,D
347,21.6,20.5,33.0,164.0,A
348,44.0,1.5,53.0,249.0,D
349,33.7,14.2,32.0,185.0,C
350,51.0,17.2,55.0,231.0,B
351,40.4,12.2,44.0,204.0,D
352,49.1,20.9,58.0,270.0,A
353,28.7,25.7,32.0,162.0,A
354,23.9,14.1,29.0,154.0,C
355,27.9,27.6,32.0,185.0,A
356,31.3,12.3,49.0,159.0,C
357,37.9,-13.1,37.0,217.0,D
358,35.9,12.3,52.0,228.0,C
359,32.7,-1.3,22.0,173.0,D
360,40.2,10.5,44.0,182.0,B
361,29.0,19.5,39.0,175.0,C
362,45.9,23.8,58.0,230.0,B
363,39.6,6.0,38.0,185.0,C
364,46.7,3.3,42.0,207.0,D
365,48.5,16.6,43.0,243.0,C
366,29.1,21.4,41.0,149.0,D
367,24.6,18.7,41.0,168.0,B
368,35.6,-7.7,40.0,193.0,D
369,51.1,8.1,51.0,243.0,C
370,31.0,11.5,40.0,220.0,B
371,21.3,7.9,24.0,154.0,D
372,46.7,16.8,52.0,231.0,C
373,50.4,2.9,44.0,192.0,D
374,30.3,26.0,40.0,173.0,A
375,42.2,17.1,54.0,229.0,A
376,19.9,11.0,37.0,157.0,C
377,34.5,9.0,23.0,138.0,D
378,41.0,11.2,44.0,236.0,D
379,51.0,11.6,57.0,158.0,B
380,35.9,15.8,40.0,165.0,B
381,33.4,20.4,35.0,190.0,A
382,27.6,30.4,42.0,175.0,A
383,49.7,7.0,39.0,225.0,C
384,34.2,2.9,52.0,240.0,D
385,31.6,0.2,39.0,206.0,D
386,42.5,21.3,54.0,216.0,A
387,41.0,13.0,26.0,205.0,B
388,46.6,10.6,58.0,253.0,B
389,50.3,26.8,60.0,276.0,A
390,53.9,10.3,46.0,209.0,B
391,36.5,7.0,57.0,217.0,C
392,22.0,18.5,19.0,138.0,B
393,45.3,15.4,45.0,209.0,B
394,37.9,14.9,35.0,204.0,D
395,45.7,11.9,48.0,218.0,B
396,49.7,16.7,51.0,248.0,B
397,46.2,7.8,46.0,211.0,C
398,39.3,27.5,60.0,204.0,D
399,33.0,13.5,41.0,186.0,A
400,24.6,20.1,13.0,135.0,D
401,42.8,14.1,35.0,233.0,C
402,23.3,26.0,21.0,115.0,B
403,20.0,20.2,23.0,87.0,C
404,18.1,34.8,33.0,108.0,C
405,30.2,20.6,0.0,133.0,D
406,47.8,17.8,50.0,240.0,A
407,46.3,7.1,57.0,212.0,C
408,40.0,11.9,43.0,189.0,B
409,24.2,22.0,52.0,160.0,A
410,56.9,21.3,51.0,230.0,A
411,45.9,20.5,57.0,233.0,B
412,45.4,-11.0,39.0,234.0,D
413,42.8,15.6,44.0,195.0,C
414,49.8,21.2,58.0,226.0,B
415,54.7,28.5,38.0,217.0,C
416,45.5,6.7,45.0,194.0,C
417,28.0,16.6,19.0,143.0,B
418,27.9,20.2,23.0,158.0,B
419,28.8,-14.3,20.0,119.0,D
420,22.7,20.9,29.0,126.0,A
421,53.4,9.4,53.0,209.0,C
422,35.9,23.8,43.0,174.0,B
423,44.7,21.0,52.0,238.0,C
424,35.3,6.0,39.0,197.0,D
425,46.3,22.9,59.0,243.0,A
426,30.5,27.3,30.0,169.0,C
427,26.2,24.7,42.0,153.0,B
428,29.4,12.5,18.0,140.0,C
429,23.6,22.5,20.0,188.0,C
430,23.0,28.3,11.0,150.0,C
431,30.6,10.1,48.0,167.0,C
432,22.4,21.2,7.0,121.0,D
433,49.6,5.9,61.0,168.0,D
434,56.4,13.9,49.0,212.0,C
435,21.8,23.3,45.0,163.0,C
436,31.7,13.4,50.0,198.0,C
437,42.1,7.5,31.0,234.0,D
438,28.3,24.5,30.0,166.0,C
439,40.7,-7.0,36.0,200.0,D
440,22.1,24.7,21.0,148.0,B
441,45.5,16.5,38.0,215.0,A
442,44.9,16.1,49.0,232.0,D
443,48.1,16.3,42.0,238.0,A
444,23.0,10.2,24.0,120.0,C
445,45.9,12.5,58.0,199.0,C
446,26.5,17.0,47.0,193.0,B
447,26.9,19.8,30.0,174.0,B
448,27.2,19.3,64.0,200.0,C
449,33.7,12.8,27.0,224.0,C
450,42.2,14.6,42.0,182.0,C
451,33.3,-3.0,33.0,203.0,D
452,28.4,15.6,15.0,149.0,D
453,21.3,25.0,19.0,121.0,B
454,33.3,6.7,30.0,173.0,C
455,32.4,21.8,37.0,170.0,A
456,22.7,26.6,28.0,151.0,B
457,39.3,19.5,51.0,203.0,A
458,55.5,9.5,35.0,185.0,C
459,27.2,17.4,27.0,126.0,B
460,52.4,23.9,60.0,280.0,A
461,35.8,19.5,53.0,195.0,D
462,42.3,18.4,55.0,214.0,C
463,41.2,19.0,45.0,232.0,B
464,36.3,4.8,37.0,191.0,C
465,29.0,24.5,64.0,173.0,A
466,33.0,10.4,30.0,181.0,C
467,40.7,18.1,56.0,277.0,B
468,53.6,16.2,40.0,220.0,C
469,21.2,21.8,30.0,156.0,C
470,44.9,18.7,36.0,180.0,A
471,31.3,22.0,40.0,165.0,B
472,45.5,7.6,43.0,229.0,C
473,38.5,3.2,40.0,207.0,D
474,52.3,9.1,38.0,218.0,B
475,45.4,11.6,53.0,232.0,C
476,30.7,-8.7,26.0,185.0,D
477,40.9,11.4,39.0,235.0,C
478,38.9,15.6,45.0,183.0,D
479,40.4,14.5,44.0,228.0,B
480,62.3,25.3,57.0,224.0,B
481,25.2,20.8,47.0,210.0,A
482,45.5,16.1,66.0,228.0,A
483,43.9,13.9,50.0,193.0,A
484,28.5,11.2,38.0,0.0,C
485,43.3,8.4,31.0,200.0,C
486,23.7,0.0,27.0,136.0,D
487,30.9,23.6,37.0,168.0,A
488,27.5,20.8,32.0,159.0,A
489,39.5,14.4,18.0,193.0,D
490,56.0,14.3,38.0,242.0,C
491,49.5,-5.3,26.0,201.0,D
492,21.7,20.7,19.0,124.0,D
493,28.1,18.1,31.0,117.0,C
494,29.6,22.1,54.0,187.0,A
495,47.1,23.2,48.0,238.0,B
496,25.0,16.0,3.0,122.0,D
497,21.5,24.0,30.0,116.0,B
498,48.9,3.3,35.0,182.0,D
499,23.5,15.2,0.0,51.0,D
500,40.9,15.9,33.0,182.0,A
501,24.9,22.4,46.0,182.0,A
502,38.8,13.4,54.0,208.0,B
503,52.0,22.3,58.0,252.0,A
504,35.9,18.6,41.0,166.0,A
505,52.0,6.3,53.0,182.0,C
506,23.6,24.0,43.0,173.0,A
507,26.4,19.0,52.0,157.0,A
508,29.0,20.5,41.0,170.0,A
509,21.3,21.1,54.0,171.0,B
510,25.6,6.0,4.0,60.0,D
511,21.4,22.4,44.0,190.0,B
512,41.0,18.5,63.0,262.0,A
513,39.3,17.5,44.0,216.0,B
514,50.1,7.8,59.0,218.0,C
515,64.9,19.3,49.0,213.0,D
516,50.5,25.4,65.0,268.0,A
517,24.1,27.5,39.0,159.0,B
518,28.9,14.4,45.0,179.0,C
519,22.5,18.3,28.0,136.0,D
520,31.9,7.4,27.0,146.0,B
521,44.1,17.4,49.0,223.0,B
522,40.5,-1.6,52.0,222.0,D
523,53.6,21.2,58.0,218.0,B
524,24.7,25.7,25.0,139.0,A
525,34.7,8.1,23.0,181.0,C
526,40.9,3.7,42.0,217.0,D
527,30.5,21.5,31.0,187.0,B
528,46.9,13.1,39.0,215.0,B
529,40.5,26.2,29.0,164.0,C
530,53.1,21.2,47.0,192.0,C
531,20.3,14.0,9.0,94.0,D
532,27.5,29.1,40.0,185.0,A
533,27.2,9.8,21.0,170.0,D
534,28.3,24.6,47.0,168.0,A
535,41.5,-0.4,34.0,159.0,D
536,25.1,16.3,13.0,110.0,C
537,17.2,-4.0,0.0,110.0,D
538,27.0,30.6,30.0,212.0,B
539,33.0,24.2,37.0,147.0,B
540,34.6,10.0,35.0,183.0,D
541,37.3,9.1,28.0,196.0,D
542,42.7,4.0,37.0,173.0,D
543,47.2,2.2,35.0,211.0,D
544,23.0,19.7,33.0,104.0,A
545,39.9,15.1,45.0,211.0,B
546,41.1,22.2,51.0,222.0,B
547,43.0,12.7,31.0,170.0,B
548,43.1,11.7,50.0,237.0,B
549,26.5,19.9,47.0,175.0,A
550,40.1,15.9,27.0,191.0,C
551,26.5,8.4,13.0,131.0,D
552,37.8,20.2,54.0,211.0,A
553,56.2,18.2,56.0,245.0,A
554,58.0,9.2,52.0,228.0,D
555,33.0,12.0,49.0,200.0,B
556,27.0,26.1,43.0,142.0,B
557,41.2,11.1,35.0,165.0,B
558,56.8,18.2,67.0,275.0,A
559,20.9,18.8,39.0,172.0,C
560,46.1,6.8,39.0,228.0,C
561,21.9,24.5,34.0,149.0,A
562,33.3,25.0,37.0,161.0,A
563,23.1,15.3,7.0,119.0,D
564,44.5,18.6,53.0,239.0,B
565,61.4,18.0,56.0,205.0,A
566,39.0,20.9,57.0,225.0,B
567,44.3,5.3,43.0,221.0,D
568,37.8,11.7,19.0,184.0,C
569,52.2,22.4,60.0,230.0,A
570,46.8,5.8,35.0,197.0,C
571,56.9,26.4,57.0,226.0,A
572,36.4,27.3,46.0,198.0,B
573,36.4,19.1,36.0,273.0,D
574,20.0,18.3,29.0,158.0,B
575,42.0,15.8,39.0,194.0,B
576,36.3,3.7,26.0,214.0,D
577,41.0,14.5,48.0,216.0,A
578,27.6,16.4,25.0,126.0,B
579,24.3,19.6,27.0,169.0,B
580,47.0,19.1,28.0,209.0,D
581,24.9,12.8,27.0,161.0,C
582,22.1,5.1,12.0,95.0,D
583,43.6,16.6,53.0,260.0,A
584,42.5,7.7,57.0,234.0,D
585,43.6,9.7,34.0,180.0,B
586,23.9,-2.7,23.0,133.0,D
587,37.2,3.0,42.0,185.0,C
588,29.7,28.6,38.0,168.0,A
589,27.4,25.4,57.0,211.0,A
590,35.7,16.3,44.0,193.0,A
591,39.7,15.0,44.0,200.0,C
592,45.2,18.1,47.0,224.0,A
593,49.3,17.5,55.0,212.0,B
594,27.1,19.1,43.0,185.0,A
595,32.5,21.9,42.0,177.0,A
596,50.1,27.3,37.0,194.0,D
597,38.3,12.3,38.0,205.0,C
598,44.8,17.9,48.0,240.0,A
599,46.5,8.6,42.0,201.0,C
600,28.7,19.2,45.0,167.0,B
601,32.9,16.0,28.0,191.0,B
602,34.6,14.5,58.0,226.0,C
603,47.0,24.9,71.0,255.0,C
604,19.0,-14.3,12.0,150.0,D
605,50.4,23.6,54.0,223.0,A
606,44.2,17.5,51.0,227.0,A
607,43.8,11.9,30.0,190.0,D
608,17.1,17.1,20.0,136.0,C
609,30.0,18.9,32.0,159.0,C
610,31.1,4.6,41.0,216.0,D
611,38.2,2.1,53.0,228.0,D
612,34.4,17.5,48.0,176.0,C
613,50.1,17.1,58.0,234.0,C
614,34.2,16.8,31.0,194.0,D
615,36.1,2.3,32.0,145.0,C
616,29.2,19.4,44.0,197.0,A
617,24.2,22.5,34.0,135.0,A
618,43.0,15.4,54.0,260.0,B
619,49.7,22.5,57.0,260.0,A
620,48.7,20.2,61.0,245.0,A
621,45.1,17.3,53.0,202.0,A
622,21.9,6.1,19.0,141.0,D
623,27.0,21.0,38.0,165.0,B
624,40.8,19.7,55.0,239.0,A
625,26.6,19.3,35.0,156.0,A
626,51.6,14.2,41.0,225.0,B
627,40.0,18.5,47.0,204.0,D
628,41.3,6.5,27.0,180.0,D
629,31.1,15.9,32.0,156.0,B
630,38.5,26.2,50.0,184.0,A
631,21.0,17.6,36.0,174.0,B
632,43.2,16.9,50.0,220.0,B
633,34.7,3.4,33.0,161.0,C
634,37.1,17.8,61.0,226.0,A
635,34.8,15.7,46.0,196.0,D
636,23.2,22.0,20.0,156.0,B
637,48.5,20.2,56.0,245.0,A
638,45.0,-6.2,59.0,232.0,D
639,29.3,21.0,41.0,182.0,A
640,22.5,16.0,38.0,137.0,C
641,29.2,1.8,45.0,213.0,D
642,27.9,18.6,19.0,146.0,C
643,40.0,13.5,36.0,189.0,B
644,35.2,-6.9,28.0,195.0,D
645,41.6,13.2,47.0,218.0,B
646,40.7,12.7,63.0,236.0,C
647,39.3,2.8,17.0,185.0,D
648,44.3,14.5,51.0,230.0,C
649,42.7,5.3,45.0,222.0,C
650,39.0,24.8,57.0,192.0,C
651,30.0,12.9,30.0,138.0,C
652,47.7,5.8,49.0,193.0,C
653,20.2,15.2,21.0,113.0,C
654,51.8,9.0,58.0,220.0,C
655,49.8,13.7,46.0,223.0,D
656,42.5,21.9,51.0,217.0,D
657,54.7,20.0,50.0,210.0,A
658,44.0,16.4,41.0,195.0,B
659,24.0,20.3,27.0,146.0,C
660,54.1,24.5,68.0,220.0,A
661,50.6,14.4,48.0,212.0,A
662,34.0,21.5,45.0,156.0,A
663,55.9,13.0,61.0,222.0,B
664,18.2,15.5,20.0,114.0,D
665,27.9,25.5,40.0,184.0,A
666,31.3,24.4,40.0,179.0,C
667,24.2,16.4,24.0,132.0,C
668,36.6,3.9,24.0,160.0,D
669,38.8,16.5,64.0,263.0,C
670,42.1,14.9,42.0,206.0,B
671,21.8,1.2,18.0,140.0,D
672,43.4,23.4,34.0,239.0,D
673,24.5,23.0,32.0,160.0,B
674,38.9,7.2,41.0,199.0,C
675,54.7,21.7,54.0,234.0,B
676,28.3,31.5,43.0,186.0,A
677,22.5,16.2,11.0,120.0,C
678,26.1,25.4,41.0,175.0,A
679,39.1,5.2,45.0,191.0,D
680,17.6,7.9,0.0,113.0,D
681,39.1,0.1,22.0,187.0,D
682,19.6,11.1,14.0,160.0,D
683,27.9,6.0,24.0,180.0,D
684,26.3,6.7,22.0,144.0,D
685,40.1,6.6,28.0,199.0,D
686,44.4,11.0,44.0,196.0,C
687,15.8,16.8,10.0,118.0,C
688,41.7,14.8,58.0,212.0,A
689,19.2,19.1,21.0,172.0,C
690,56.7,29.3,62.0,259.0,A
691,26.5,22.3,28.0,165.0,B
692,41.8,18.7,53.0,241.0,A
693,31.9,3.6,28.0,151.0,C
